lot_id,wafer_id,operation_no,equipment_id,chamber_id,recipe_id,recipe_version,parameter_name,baseline_value,observed_value,delta_percent,unit,trend_slope,ooc_flag,severity,measured_at
LOT_V2_01_SRC,LOT_V2_01_SRC_W01,6400,CMP_CU_11,CMP_CU_11_CH01,RCP_V2_6400,V2.1,conditioner_motor_torque,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-02T10:00:00+00:00
LOT_V2_01_IMP_01,LOT_V2_01_IMP_01_W01,6400,CMP_CU_11,CMP_CU_11_CH01,RCP_V2_6400,V2.1,conditioner_motor_torque,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-02T13:00:00+00:00
LOT_V2_01_IMP_02,LOT_V2_01_IMP_02_W01,6400,CMP_CU_11,CMP_CU_11_CH01,RCP_V2_6400,V2.1,conditioner_motor_torque,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-02T16:00:00+00:00
LOT_V2_01_CTRL_01,LOT_V2_01_CTRL_01_W01,6400,EQ_V2_6400,EQ_V2_6400_CH01,RCP_V2_6400,V2.1,conditioner_motor_torque,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-02T19:00:00+00:00
LOT_V2_01_CTRL_02,LOT_V2_01_CTRL_02_W01,6400,EQ_V2_6400,EQ_V2_6400_CH01,RCP_V2_6400,V2.1,conditioner_motor_torque,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-02T22:00:00+00:00
LOT_V2_02_SRC,LOT_V2_02_SRC_W01,6000,PLATE_CU_04,PLATE_CU_04_CH01,RCP_V2_6000,V2.1,anode_contact_voltage,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-03T10:00:00+00:00
LOT_V2_02_IMP_01,LOT_V2_02_IMP_01_W01,6000,PLATE_CU_04,PLATE_CU_04_CH01,RCP_V2_6000,V2.1,anode_contact_voltage,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-03T13:00:00+00:00
LOT_V2_02_IMP_02,LOT_V2_02_IMP_02_W01,6000,PLATE_CU_04,PLATE_CU_04_CH01,RCP_V2_6000,V2.1,anode_contact_voltage,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-03T16:00:00+00:00
LOT_V2_02_IMP_03,LOT_V2_02_IMP_03_W01,6000,PLATE_CU_04,PLATE_CU_04_CH01,RCP_V2_6000,V2.1,anode_contact_voltage,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-03T19:00:00+00:00
LOT_V2_02_CTRL_01,LOT_V2_02_CTRL_01_W01,6000,EQ_V2_6000,EQ_V2_6000_CH01,RCP_V2_6000,V2.1,anode_contact_voltage,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-03T22:00:00+00:00
LOT_V2_02_CTRL_02,LOT_V2_02_CTRL_02_W01,6000,EQ_V2_6000,EQ_V2_6000_CH01,RCP_V2_6000,V2.1,anode_contact_voltage,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-04T01:00:00+00:00
LOT_V2_03_SRC,LOT_V2_03_SRC_W01,6400,CMP_CU_13,CMP_CU_13_CH01,RCP_V2_6400,V2.1,carrier_head_orbit_runout,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-04T10:00:00+00:00
LOT_V2_03_IMP_01,LOT_V2_03_IMP_01_W01,6400,CMP_CU_13,CMP_CU_13_CH01,RCP_V2_6400,V2.1,carrier_head_orbit_runout,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-04T13:00:00+00:00
LOT_V2_03_IMP_02,LOT_V2_03_IMP_02_W01,6400,CMP_CU_13,CMP_CU_13_CH01,RCP_V2_6400,V2.1,carrier_head_orbit_runout,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-04T16:00:00+00:00
LOT_V2_03_CTRL_01,LOT_V2_03_CTRL_01_W01,6400,EQ_V2_6400,EQ_V2_6400_CH01,RCP_V2_6400,V2.1,carrier_head_orbit_runout,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-04T19:00:00+00:00
LOT_V2_03_CTRL_02,LOT_V2_03_CTRL_02_W01,6400,EQ_V2_6400,EQ_V2_6400_CH01,RCP_V2_6400,V2.1,carrier_head_orbit_runout,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-04T22:00:00+00:00
LOT_V2_04_SRC,LOT_V2_04_SRC_W01,8000,MET_FILM_03,MET_FILM_03_CH01,RCP_V2_8000,V2.1,reference_wafer_offset,100.0,118.0,18.0,normalized,0.2,true,HIGH,2026-06-05T10:00:00+00:00
LOT_V2_04_SRC,LOT_V2_04_SRC_W01,6400,EQ_V2_6400,EQ_V2_6400_CH01,RCP_V2_6400,V2.1,removal_rate_proxy,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-05T10:00:00+00:00
LOT_V2_04_SRC,LOT_V2_04_SRC_W01,5000,EQ_V2_5000,EQ_V2_5000_CH01,RCP_V2_5000,V2.1,deposition_rate_proxy,100.0,101.0,1.0,normalized,0.0,false,NORMAL,2026-06-05T10:00:00+00:00
