equipment_id,chamber_id,operation_no,module,material,recipe_family,qualification_status
CMP_CU_11,CMP_CU_11_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CMP_CU_12,CMP_CU_12_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CMP_CU_13,CMP_CU_13_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CMP_CU_15,CMP_CU_15_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CMP_CU_21,CMP_CU_21_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CMP_CU_22,CMP_CU_22_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CMP_CU_23,CMP_CU_23_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
CVD_FILM_07,CVD_FILM_07_CH01,5000,CVD,,V2_CVD,QUALIFIED
CVD_ILD_17,CVD_ILD_17_CH01,5000,CVD,,V2_CVD,QUALIFIED
EQ_V2_1000,EQ_V2_1000_CH01,1000,Lithography,,V2_LITHOGRAPHY,QUALIFIED
EQ_V2_2000,EQ_V2_2000_CH01,2000,Dry Etch,,V2_DRY_ETCH,QUALIFIED
EQ_V2_3000,EQ_V2_3000_CH01,3000,Ion Implant,,V2_ION_IMPLANT,QUALIFIED
EQ_V2_4000,EQ_V2_4000_CH01,4000,PVD,,V2_PVD,QUALIFIED
EQ_V2_5000,EQ_V2_5000_CH01,5000,CVD,,V2_CVD,QUALIFIED
EQ_V2_6000,EQ_V2_6000_CH01,6000,Electroplating,,V2_ELECTROPLATING,QUALIFIED
EQ_V2_6400,EQ_V2_6400_CH01,6400,Cu CMP,,V2_CU_CMP,QUALIFIED
EQ_V2_7000,EQ_V2_7000_CH01,7000,Wet Clean,,V2_WET_CLEAN,QUALIFIED
EQ_V2_8000,EQ_V2_8000_CH01,8000,Metrology,,V2_METROLOGY,QUALIFIED
EQ_V2_9000,EQ_V2_9000_CH01,9000,WAT,,V2_WAT,QUALIFIED
ETCH_METAL_08,ETCH_METAL_08_CH01,2000,Dry Etch,,V2_DRY_ETCH,QUALIFIED
IMP_WELL_03,IMP_WELL_03_CH01,3000,Ion Implant,,V2_ION_IMPLANT,QUALIFIED
LITHO_SCN_06,LITHO_SCN_06_CH01,1000,Lithography,,V2_LITHOGRAPHY,QUALIFIED
MET_CU_MAP_13,MET_CU_MAP_13_CH01,8000,Metrology,,V2_METROLOGY,QUALIFIED
MET_FILM_03,MET_FILM_03_CH01,8000,Metrology,,V2_METROLOGY,QUALIFIED
MET_FILM_04,MET_FILM_04_CH01,8000,Metrology,,V2_METROLOGY,QUALIFIED
MET_FILM_11,MET_FILM_11_CH01,8000,Metrology,,V2_METROLOGY,QUALIFIED
MET_FILM_12,MET_FILM_12_CH01,8000,Metrology,,V2_METROLOGY,QUALIFIED
PLATE_CU_04,PLATE_CU_04_CH01,6000,Electroplating,,V2_ELECTROPLATING,QUALIFIED
PLATE_CU_09,PLATE_CU_09_CH01,6000,Electroplating,,V2_ELECTROPLATING,QUALIFIED
WAT_CELL_07,WAT_CELL_07_CH01,9000,WAT,,V2_WAT,QUALIFIED
WAT_CELL_08,WAT_CELL_08_CH01,9000,WAT,,V2_WAT,QUALIFIED
WAT_CELL_09,WAT_CELL_09_CH01,9000,WAT,,V2_WAT,QUALIFIED
WAT_CELL_10,WAT_CELL_10_CH01,9000,WAT,,V2_WAT,QUALIFIED
WAT_CELL_12,WAT_CELL_12_CH01,9000,WAT,,V2_WAT,QUALIFIED
WAT_CELL_13,WAT_CELL_13_CH01,9000,WAT,,V2_WAT,QUALIFIED
